id,name,value,category,timestamp
1,Item Gamma,1025.74,C,2025-01-25T12:05:05Z
2,Item Delta,4466.02,C,2025-01-20T18:19:34Z
3,Item Delta,688.53,A,2025-01-06T06:48:34Z
4,Item Beta,4765.65,A,2025-01-17T14:21:51Z
5,Item Zeta,891.89,B,2025-01-26T02:18:37Z
6,Item Alpha,2495.85,A,2025-01-22T16:00:30Z
7,Item Epsilon,4515.78,C,2025-01-02T05:35:57Z
8,Item Beta,4712.23,C,2025-01-20T10:49:41Z
9,Item Gamma,4396.73,B,2025-01-29T21:07:41Z
10,Item Epsilon,2367.79,C,2025-01-08T00:15:54Z
11,Item Gamma,3378.76,A,2025-01-12T04:22:02Z
12,Item Epsilon,2111.74,C,2025-01-08T17:01:38Z
13,Item Zeta,4911.8,C,2025-01-18T10:50:36Z
14,Item Alpha,2617.46,A,2025-01-02T01:49:58Z
15,Item Zeta,4090.14,B,2025-01-04T08:31:23Z
16,Item Delta,3184.5,B,2025-01-19T22:22:34Z
17,Item Alpha,3340.23,B,2025-01-07T14:05:14Z
18,Item Zeta,4580.23,C,2025-01-06T06:57:03Z
19,Item Zeta,1342.12,C,2025-01-24T13:09:05Z
20,Item Theta,4819.5,A,2025-01-05T19:40:38Z
21,Item Beta,4144.69,A,2025-01-06T03:58:19Z
22,Item Theta,1185.09,B,2025-01-12T07:16:57Z
23,Item Alpha,721.96,C,2025-01-15T21:30:44Z
24,Item Gamma,3663.67,B,2025-01-27T16:34:50Z
25,Item Epsilon,484.32,A,2025-01-25T05:46:37Z
26,Item Gamma,2838.01,B,2025-01-07T18:35:36Z
27,Item Beta,4721.54,B,2025-01-13T08:02:31Z
28,Item Delta,719.18,A,2025-01-27T08:33:05Z
29,Item Epsilon,3123.55,A,2025-01-24T05:27:28Z
30,Item Epsilon,3510.73,A,2025-01-29T13:32:33Z
31,Item Alpha,519.71,B,2025-01-06T14:43:27Z
32,Item Alpha,445.62,B,2025-01-07T12:34:02Z
33,Item Beta,156.62,A,2025-01-22T07:52:32Z
34,Item Epsilon,138.35,C,2025-01-06T20:05:19Z
35,Item Zeta,3353.83,B,2025-01-07T01:57:35Z
36,Item Epsilon,143.02,B,2025-01-05T16:18:01Z
37,Item Eta,3285.66,C,2025-01-19T12:38:20Z
38,Item Theta,1646.05,A,2025-01-14T10:10:11Z
39,Item Gamma,4973.55,C,2025-01-04T12:58:03Z
40,Item Theta,1138.76,C,2025-01-04T02:57:25Z
41,Item Epsilon,1585.84,C,2025-01-11T20:48:27Z
42,Item Zeta,3123.78,C,2025-01-05T00:22:34Z
43,Item Beta,205.72,C,2025-01-02T22:27:43Z
44,Item Alpha,795.5,B,2025-01-25T14:53:27Z
45,Item Eta,3010.13,B,2025-01-15T11:07:59Z
46,Item Zeta,2575.45,A,2025-01-09T13:56:43Z
47,Item Beta,3034.38,B,2025-01-01T11:02:16Z
48,Item Gamma,1217.04,B,2025-01-15T00:55:29Z
